頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW0001111003,1111,欣欣水泥,公開發行 ,普通股,水泥工業,1982/11/24,ESVUFR,
 2 ,TW0001237006,1237,台糖公司,公開發行 ,普通股,食品工業,1950/09/01,ESVUFR,
 3 ,TW0001242006,1242,新東陽,公開發行 ,普通股,食品工業,1991/10/28,ESVUFR,
 4 ,TW0001246007,1246,中聯油脂,公開發行 ,普通股,食品工業,1997/05/31,ESVUFR,
 5 ,TW0001267003,1267,京華堂,公開發行 ,普通股,食品工業,2015/01/19,ESVUFR,
 6 ,TW0001328003,1328,中油,公開發行 ,普通股,塑膠工業,1997/12/24,ESVUFR,
 7 ,TW0001408003,1408,中紡,公開發行 ,普通股,紡織纖維,1973/05/31,ESVUFR,
 8 ,TW0001550002,1550,台全電機,公開發行 ,普通股,電機機械,1996/12/16,ESVUFR,
 9 ,TW0001557007,1557,金豐機器,公開發行 ,普通股,電機機械,1999/07/07,ESVUFR,
 10 ,KYG316231045,1592,英瑞-KY,公開發行 ,普通股,汽車工業,2014/10/16,ESVUFR,
 11 ,TW0001602001,1602,太電,公開發行 ,普通股,電器電纜,1963/08/15,ESVUFR,
 12 ,TW0001613008,1613,台一,公開發行 ,普通股,電器電纜,1995/10/20,ESVUFR,
 13 ,TW0001619005,1619,大展電線,公開發行 ,普通股,電器電纜,1991/03/28,ESVUFR,
 14 ,TW0001715001,1715,萬洲,公開發行 ,普通股,塑膠工業,1984/09/22,ESVUFR,
 15 ,TW0001716009,1716,永信藥品,公開發行 ,普通股,生技醫療業,1989/04/01,ESVUFR,
 16 ,TW0001739001,1739,欣雲天然,公開發行 ,普通股,化學工業,1991/05/20,ESVUFR,
 17 ,TW0001740009,1740,欣桃天然,公開發行 ,普通股,化學工業,1991/01/10,ESVUFR,
 18 ,TW0001743003,1743,大台南區,公開發行 ,普通股,化學工業,1993/06/21,ESVUFR,
 19 ,TW0001745008,1745,欣嘉公司,公開發行 ,普通股,,1993/11/15,ESVUFR,
 20 ,TW0001763001,1763,奇美實業,公開發行 ,普通股,化學工業,1983/01/07,ESVUFR,
