頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW000A001024,A00102,00央債甲02,上市櫃 ,政府公債,,2011/01/13,DBFTFR,
 2 ,TW000A001040,A00104,100央債甲04,上市櫃 ,政府公債,,2011/02/22,DBFTFR,
 3 ,TW000A001073,A00107,100央債甲7,上市櫃 ,政府公債,,2011/08/02,DBFTFR,
 4 ,TW000A001081,A00108,100央債甲8,上市櫃 ,政府公債,,2011/08/22,DBFTFR,
 5 ,TW000A002014,A00201,100央債乙1,上市櫃 ,政府公債,,2011/05/26,DBFTFR,
 6 ,TW000A011023,A01102,101央債甲2,上市櫃 ,政府公債,,2012/01/20,DBFTFR,
 7 ,TW000A011049,A01104,101央債甲4,上市櫃 ,政府公債,,2012/02/13,DBFTFR,
 8 ,TW000A011072,A01107,101央債甲7,上市櫃 ,政府公債,,2012/08/10,DBFTFR,
 9 ,TW000A011080,A01108,101央債甲8,上市櫃 ,政府公債,,2012/08/24,DBFTFR,
 10 ,TW000A012013,A01201,101央債乙1,上市櫃 ,政府公債,,2012/03/16,DBFTFR,
 11 ,TW000A021014,A02101,102央債甲1,上市櫃 ,政府公債,,2013/01/09,DBFTFR,
 12 ,TW000A021030,A02103,102央債甲3,上市櫃 ,政府公債,,2013/01/28,DBFTFR,
 13 ,TW000A021055,A02105,102央債甲5,上市櫃 ,政府公債,,2013/02/26,DBFTFR,
 14 ,TW000A021089,A02108,102央債甲8,上市櫃 ,政府公債,,2013/07/26,DBFTFR,
 15 ,TW000A021097,A02109,102央債甲9,上市櫃 ,政府公債,,2013/08/02,DBFTFR,
 16 ,TW000A022012,A02201,102央債乙1,上市櫃 ,政府公債,,2013/03/21,DBFTFR,
 17 ,TW000A031039,A03103,103央債甲3,上市櫃 ,政府公債,,2014/01/29,DBFTFR,
 18 ,TW000A031054,A03105,103央債甲5,上市櫃 ,政府公債,,2014/02/26,DBFTFR,
 19 ,TW000A031070,A03107,103央債甲7,上市櫃 ,政府公債,,2014/04/25,DBFTFR,
 20 ,TW000A031088,A03108,103央債甲8,上市櫃 ,政府公債,,2014/05/28,DBFTFR,
 21 ,TW000A031112,A03111,103央債甲11,上市櫃 ,政府公債,,2014/07/31,DBFTFR,
 22 ,TW000A031120,A03112,103央債甲12,上市櫃 ,政府公債,,2014/08/04,DBFTFR,
 23 ,TW000A031138,A03113,103央債甲13,上市櫃 ,政府公債,,2014/09/26,DBFTFR,
 24 ,TW000A031146,A03114,103央債甲14,上市櫃 ,政府公債,,2014/10/02,DBFTFR,
 25 ,TW000A031161,A03116,103央債甲16,上市櫃 ,政府公債,,2014/11/26,DBFTFR,
 26 ,TW000A041020,A04102,104央債甲2,上市櫃 ,政府公債,,2015/01/23,DBFTFR,
 27 ,TW000A041046,A04104,104央債甲4,上市櫃 ,政府公債,,2015/02/13,DBFTFR,
 28 ,TW000A041053,A04105,104央債甲5,上市櫃 ,政府公債,,2015/03/13,DBFTFR,
 29 ,TW000A041079,A04107,104央債甲7,上市櫃 ,政府公債,,2015/04/15,DBFTFR,
 30 ,TW000A041087,A04108,104央債甲8,上市櫃 ,政府公債,,2015/05/15,DBFTFR,
 31 ,TW000A041111,A04111,104央債甲11,上市櫃 ,政府公債,,2015/08/10,DBFTFR,
 32 ,TW000A041129,A04112,104央債甲12,上市櫃 ,政府公債,,2015/09/11,DBFTFR,
 33 ,TW000A041145,A04114,104央債甲14,上市櫃 ,政府公債,,2015/10/26,DBFTFR,
 34 ,TW000A051029,A05102,105央債甲2,上市櫃 ,政府公債,,2016/01/22,DBFTFR,
 35 ,TW000A051045,A05104,105央債甲4,上市櫃 ,政府公債,,2016/03/04,DBFTFR,
 36 ,TW000A051060,A05106,105央債甲6,上市櫃 ,政府公債,,2016/04/08,DBFTFR,
 37 ,TW000A051078,A05107,105央債甲7,上市櫃 ,政府公債,,2016/05/20,DBFTFR,
 38 ,TW000A051094,A05109,105央債甲9,上市櫃 ,政府公債,,2016/07/19,DBFTFR,
 39 ,TW000A051102,A05110,105央債甲10,上市櫃 ,政府公債,,2016/08/05,DBFTFR,
 40 ,TW000A051110,A05111,105央債甲11,上市櫃 ,政府公債,,2016/09/07,DBFTFR,
 41 ,TW000A051144,A05114,105央債甲14,上市櫃 ,政府公債,,2016/11/25,DBFTFR,
 42 ,TW000A061036,A06103,106央債甲3,上市櫃 ,政府公債,,2017/02/20,DBFTFR,
 43 ,TW000A061044,A06104,106央債甲4,上市櫃 ,政府公債,,2017/03/01,DBFTFR,
 44 ,TW000A061069,A06106,106央債甲6,上市櫃 ,政府公債,,2017/05/26,DBFTFR,
 45 ,TW000A061085,A06108,106央債甲8,上市櫃 ,政府公債,,2017/08/18,DBFTFR,
 46 ,TW000A061093,A06109,106央債甲9,上市櫃 ,政府公債,,2017/09/20,DBFTFR,
 47 ,TW000A061119,A06111,106央債甲11,上市櫃 ,政府公債,,2017/11/24,DBFTFR,
 48 ,TW000A071027,A07102,107央債甲2,上市櫃 ,政府公債,,2018/02/08,DBFTFR,
 49 ,TW000A071035,A07103,107央債甲3,上市櫃 ,政府公債,,2018/03/13,DBFTFR,
 50 ,TW000A071043,A07104,107央債甲4,上市櫃 ,政府公債,,2018/05/18,DBFTFR,
 51 ,TW000A071050,A07105,107央債甲5,上市櫃 ,政府公債,,2018/06/08,DBFTFR,
 52 ,TW000A071084,A07108,107央債甲8,上市櫃 ,政府公債,,2018/09/21,DBFTFR,
 53 ,TW000A071092,A07109,107央債甲9,上市櫃 ,政府公債,,2018/10/17,DBFTFR,
 54 ,TW000A071100,A07110,107央債甲10,上市櫃 ,政府公債,,2018/11/09,DBFTFR,
 55 ,TW000A081026,A08102,108央債甲2,上市櫃 ,政府公債,,2019/01/28,DBFTFR,
 56 ,TW000A081034,A08103,108央債甲3,上市櫃 ,政府公債,,2019/02/13,DBFTFR,
 57 ,TW000A081042,A08104,108央債甲4,上市櫃 ,政府公債,,2019/03/04,DBFTFR,
 58 ,TW000A081059,A08105,108央債甲5,上市櫃 ,政府公債,,2019/05/17,DBFTFR,
 59 ,TW000A081067,A08106,108央債甲6,上市櫃 ,政府公債,,2019/06/26,DBFTFR,
 60 ,TW000A081075,A08107,108央債甲7,上市櫃 ,政府公債,,2019/07/17,DBFTFR,
 61 ,TW000A081083,A08108,108央債甲8,上市櫃 ,政府公債,,2019/09/06,DBFTFR,
