頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW0000050004,0050,元大台灣50,上市 ,ETF,,2003/06/30,CEOGEU,
 2 ,TW0000051002,0051,元大中型100,上市 ,ETF,,2006/08/31,CEOGEU,
 3 ,TW0000052000,0052,富邦科技,上市 ,ETF,,2006/09/12,CEOGEU,
 4 ,TW0000053008,0053,元大電子,上市 ,ETF,,2007/07/16,CEOGEU,
 5 ,TW0000055003,0055,元大MSCI金融,上市 ,ETF,,2007/07/16,CEOGEU,
 6 ,TW0000056001,0056,元大高股息,上市 ,ETF,,2007/12/26,CEOGEU,
 7 ,TW0000057009,0057,富邦摩台,上市 ,ETF,,2008/02/27,CEOGEU,
 8 ,TW0000061001,0061,元大寶滬深,上市 ,ETF,,2009/08/17,CEOGEU,
 9 ,TW0000062033,006203,元大MSCI台灣,上市 ,ETF,,2011/05/12,CEOGEU,
 10 ,TW0000062041,006204,永豐臺灣加權,上市 ,ETF,,2011/09/28,CEOGEU,
 11 ,TW0000062058,006205,富邦上証,上市 ,ETF,,2011/09/26,CEOGEU,
 12 ,TW0000062066,006206,元大上證50,上市 ,ETF,,2012/05/11,CEOGEU,
 13 ,TW0000062074,006207,復華滬深,上市 ,ETF,,2012/06/22,CEOGEU,
 14 ,TW0000062082,006208,富邦台50,上市 ,ETF,,2012/07/17,CEOGEU,
 15 ,TW00000625K4,00625K,富邦上証+R,上市 ,ETF,,2016/08/08,CEOGEU,
 16 ,TW00000631L0,00631L,元大台灣50正2,上市 ,ETF,,2014/10/31,CEOGDU,
 17 ,TW00000632R5,00632R,元大台灣50反1,上市 ,ETF,,2014/10/31,CEOGDU,
 18 ,TW00000633L6,00633L,富邦上証正2,上市 ,ETF,,2014/11/25,CEOGDU,
 19 ,TW00000634R1,00634R,富邦上証反1,上市 ,ETF,,2014/11/25,CEOGDU,
 20 ,TW00000635U2,00635U,期元大S&P黃金,上市 ,ETF,,2015/04/15,CEOGDU,
 21 ,TW0000063601,00636,國泰中國A50,上市 ,ETF,,2015/04/01,CEOGEU,
