頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW000BRFF500,BRFF5,布蘭特原油期貨2025/06,期貨及選擇權 ,原油期貨,,2024/02/01,FCECSX,
 2 ,TW000BRFH407,BRFH4,布蘭特原油期貨2024/08,期貨及選擇權 ,原油期貨,,2024/03/29,FCECSX,
 3 ,TW000BRFI405,BRFI4,布蘭特原油期貨2024/09,期貨及選擇權 ,原油期貨,,2024/05/02,FCECSX,
 4 ,TW000BRFJ403,BRFJ4,布蘭特原油期貨2024/10,期貨及選擇權 ,原油期貨,,2024/06/03,FCECSX,
 5 ,TW000BRFL409,BRFL4,布蘭特原油期貨2024/12,期貨及選擇權 ,原油期貨,,2023/08/01,FCECSX,
 6 ,TW000BTFC503,BTFC5,臺灣生技期貨2025/03,期貨及選擇權 ,臺指公司指數期貨,,2024/03/21,FFICSX,
 7 ,TW000BTFF506,BTFF5,臺灣生技期貨2025/06,期貨及選擇權 ,臺指公司指數期貨,,2024/06/20,FFICSX,
 8 ,TW000BTFG405,BTFG4,臺灣生技期貨2024/07,期貨及選擇權 ,臺指公司指數期貨,,2024/04/18,FFICSX,
 9 ,TW000BTFH403,BTFH4,臺灣生技期貨2024/08,期貨及選擇權 ,臺指公司指數期貨,,2024/05/16,FFICSX,
 10 ,TW000BTFI401,BTFI4,臺灣生技期貨2024/09,期貨及選擇權 ,臺指公司指數期貨,,2023/09/21,FFICSX,
 11 ,TW000BTFL405,BTFL4,臺灣生技期貨2024/12,期貨及選擇權 ,臺指公司指數期貨,,2023/12/21,FFICSX,
 12 ,TW000CAFC501,CAFC5,南亞股票期貨2025/03,期貨及選擇權 ,股票期貨,,2024/04/18,FFSCSX,
 13 ,TW000CAFG403,CAFG4,南亞股票期貨2024/07,期貨及選擇權 ,股票期貨,,2024/05/16,FFSCSX,
