頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 62 ,TW0004546007,4546,長亨,興櫃 ,股票,電機機械,2013/07/30,ESVUFR,
 63 ,TW0004553003,4553,盛復,興櫃 ,股票,電機機械,2014/09/16,ESVUFR,
 64 ,TW0004559000,4559,久裕興,興櫃 ,股票,運動休閒,2014/12/08,ESVUFR,
 65 ,TW0004565007,4565,宏偉,興櫃 ,股票,電機機械,2016/10/05,ESVUFR,
 66 ,TW0004570007,4570,傑生,興櫃 ,股票,電機機械,2024/03/14,ESVUFR,
 67 ,TW0004573001,4573,高明鐵,興櫃 ,股票,電機機械,2018/07/26,ESVUFR,
 68 ,TW0004575006,4575,銓寶,興櫃 ,股票,電機機械,2018/11/19,ESVUFR,
 69 ,TW0004582002,4582,聚恆,興櫃 ,股票,綠能環保,2019/09/30,ESVUFR,
 70 ,TW0004587001,4587,寶元數控,興櫃 ,股票,電機機械,2022/07/27,ESVUFR,
 71 ,TW0004589007,4589,碩陽電機,興櫃 ,股票,電機機械,2023/04/27,ESVUFR,
 72 ,TW0004724000,4724,宣捷幹細胞,興櫃 ,股票,生技醫療業,2023/06/16,ESVUFR,
 73 ,TW0004732003,4732,彥臣,興櫃 ,股票,生技醫療業,2007/12/25,ESVUFR,
 74 ,TW0004738000,4738,尚化,興櫃 ,股票,化學工業,2009/09/09,ESVUFR,
 75 ,TW0004749007,4749,新應材,興櫃 ,股票,光電業,2022/02/15,ESVUFR,
 76 ,TW0004765003,4765,磐采,興櫃 ,股票,化學工業,2016/12/05,ESVUFR,
 77 ,TW0004772009,4772,台特化,興櫃 ,股票,化學工業,2022/09/21,ESVUFR,
 78 ,TW0004773007,4773,高福,興櫃 ,股票,化學工業,2022/10/25,ESVUFR,
 79 ,TW0004925003,4925,智微,興櫃 ,股票,半導體業,2010/10/28,ESVUFR,
 80 ,TW0004980008,4980,佐臻,興櫃 ,股票,電子零組件業,2010/11/16,ESVUFR,
 81 ,TW0005233001,5233,有量,興櫃 ,股票,其他電子業,2011/06/28,ESVUFR,
 82 ,TW0005240006,5240,建騰,興櫃 ,股票,光電業,2011/06/22,ESVUFR,
 83 ,TW0005246003,5246,勵威,興櫃 ,股票,半導體業,2022/11/03,ESVUFR,
 84 ,TW0005248009,5248,景傳,興櫃 ,股票,光電業,2011/09/06,ESVUFR,
 85 ,TW0005254007,5254,欣訊科技,興櫃 ,股票,電子零組件業,2019/01/08,ESVUFR,
 86 ,TW0005262000,5262,立達,興櫃 ,股票,半導體業,2013/10/21,ESVUFR,
 87 ,TW0005267009,5267,龍翩,興櫃 ,股票,光電業,2012/02/24,ESVUFR,
 88 ,TW0005271001,5271,紘通,興櫃 ,股票,電子零組件業,2012/03/06,ESVUFR,
 89 ,TW0005277008,5277,葳天,興櫃 ,股票,光電業,2014/09/24,ESVUFR,
 90 ,TW0005297006,5297,廣化,興櫃 ,股票,半導體業,2017/02/21,ESVUFR,
 91 ,TW0005547004,5547,久舜,興櫃 ,股票,建材營造業,2020/01/10,ESVUFR,
 92 ,TW0005859003,5859,遠壽,興櫃 ,股票,金融保險業,2015/04/16,ESVUFR,
 93 ,TW0005863005,5863,瑞興銀,興櫃 ,股票,金融保險業,2007/12/03,ESVUFR,
 94 ,TW0006027006,6027,德信,興櫃 ,股票,金融保險業,2015/11/02,ESVUFR,
 95 ,TW0006028004,6028,公勝保經,興櫃 ,股票,金融保險業,2019/03/06,ESVUFR,
