頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 1 ,TW000T0110Y4,T0110Y,兆豐豐台灣證券投資信託基金,其他的 ,受益憑證(基金),,2008/08/22,CIOGEU,於2023/03/10登錄櫃檯買賣
 2 ,TW000T0134J5,T0134J,兆豐新加坡交易所房地產收益證,其他的 ,受益憑證(基金),,2022/11/08,CIOIRU,於//登錄櫃檯買賣
 3 ,TW000T0134L1,T0134L,兆豐新加坡交易所房地產收益證,其他的 ,受益憑證(基金),,2022/11/08,CIOIRU,於//登錄櫃檯買賣
 4 ,TW000T0134M9,T0134M,兆豐新加坡交易所房地產收益證,其他的 ,受益憑證(基金),,2022/11/08,CIOGRU,於//登錄櫃檯買賣
 5 ,TW000T1201Y0,T1201Y,華南永昌永昌,其他的 ,受益憑證(基金),,1993/02/16,CIOGEU,於2021/02/23登錄櫃檯買賣
 6 ,TW000T3701Y7,T3701Y,國泰國泰,其他的 ,受益憑證(基金),,2000/06/23,CIOGEU,於2022/12/02登錄櫃檯買賣
 7 ,TW000T3706Y6,T3706Y,國泰大中華,其他的 ,受益憑證(基金),,2002/01/31,CIOGEU,於2022/12/02登錄櫃檯買賣
 8 ,TW000T3707Y4,T3707Y,國泰科技生化,其他的 ,受益憑證(基金),,2002/07/18,CIOGEU,於2022/12/02登錄櫃檯買賣
 9 ,TW000T3714Y0,T3714Y,國泰小龍,其他的 ,受益憑證(基金),,1994/03/09,CIOGEU,於2022/12/02登錄櫃檯買賣
