頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 59 ,TW00000840B8,00840B,凱基IG精選15+,上櫃 ,ETF,,2019/06/10,CEOIBU,
 60 ,TW00000841B6,00841B,凱基AAA-AA公司債,上櫃 ,ETF,,2019/06/10,CEOIBU,
 61 ,TW00000842B4,00842B,台新美元銀行債,上櫃 ,ETF,,2019/06/14,CEOIBU,
 62 ,TW00000844B0,00844B,新光15年IG金融債,上櫃 ,ETF,,2019/07/18,CEOIBU,
 63 ,TW00000845B7,00845B,富邦新興投等債,上櫃 ,ETF,,2019/07/16,CEOIBU,
 64 ,TW00000846B5,00846B,富邦歐洲銀行債,上櫃 ,ETF,,2019/07/16,CEOIBU,
 65 ,TW00000847B3,00847B,中信美國市政債,上櫃 ,ETF,,2019/07/30,CEOJBU,
 66 ,TW00000848B1,00848B,中信新興亞洲債,上櫃 ,ETF,,2019/07/30,CEOJBU,
 67 ,TW00000849B9,00849B,中信EM主權債0-5,上櫃 ,ETF,,2019/07/30,CEOJBU,
 68 ,TW00000853B1,00853B,統一美債10年Aa-A,上櫃 ,ETF,,2019/09/04,CEOIBU,
 69 ,TW00000856B4,00856B,永豐1-3年美公債,上櫃 ,ETF,,2019/09/30,CEOIBU,
 70 ,TW00000857B2,00857B,永豐20年美公債,上櫃 ,ETF,,2019/09/30,CEOIBU,
 71 ,TW0000085802,00858,永豐美國500大,上櫃 ,ETF,,2019/09/30,CEOIEU,
 72 ,TW00000859B8,00859B,群益0-1年美債,上櫃 ,ETF,,2019/10/18,CEOIBU,
 73 ,TW00000860B6,00860B,群益1-5Y投資級債,上櫃 ,ETF,,2019/10/18,CEOIBU,
 74 ,TW00000862B2,00862B,中信投資級公司債,上櫃 ,ETF,,2019/10/18,CEOIBU,
 75 ,TW00000863B0,00863B,中信全球電信債,上櫃 ,ETF,,2019/10/18,CEOIBU,
 76 ,TW00000864B8,00864B,中信美國公債0-1,上櫃 ,ETF,,2019/10/18,CEOGBU,
